attribute_id,attribute_value,goods_id,cost,price,inventory,is_valid
1,好家伙,1,5000,5999,1000,1
2,好家伙,2,5500,6488,1000,1
3,好家伙,3,6500,7999,1000,1
4,好家伙,4,5000,6099,1000,1
5,好家伙,5,8000,10999,1000,1
6,好家伙,6,2500,3499,1000,1
7,好家伙,7,2700,3799,1000,1
8,好家伙,8,1500,2499,1000,1
9,好家伙,9,2500,3499,1000,1
10,好家伙,10,900,1588,1000,1
11,好家伙,11,700,1169,1000,1
12,好家伙,12,1000,1669,1000,1
13,好家伙,13,1200,1999,1000,1
14,好家伙,14,2000,2799,1000,1
15,好家伙,15,2600,3269,1000,1
16,好家伙,16,2900,3669,1000,1
17,好家伙,17,2900,3669,1000,1
18,好家伙,18,4500,5499,1000,1
19,好家伙,19,1200,1999,1000,1
20,好家伙,20,1800,2499,1000,1
21,好家伙,21,500,1099,1000,1
22,好家伙,22,700,1399,1000,1
23,好家伙,23,4500,5999,1000,1
24,好家伙,24,5800,7699,1000,1
25,好家伙,25,4300,5799,1000,1
26,好家伙,26,4500,5999,1000,1
27,好家伙,27,8000,10999,1000,1
28,好家伙,28,6100,7999,1000,1
29,好家伙,29,5600,6599,1000,1
30,好家伙,30,9000,11999,1000,1
31,好家伙,31,2600,3849,1000,1
32,好家伙,32,10000,13899,1000,1
33,好家伙,33,4800,7199,1000,1
34,好家伙,34,3500,5999,1000,1
35,好家伙,35,5200,7999,1000,1
36,好家伙,36,6200,8999,1000,1
37,好家伙,37,1000,2399,1000,1
38,好家伙,38,3000,4799,1000,1
39,好家伙,39,3800,6199,1000,1
40,好家伙,40,22,46.5,1000,1
41,好家伙,41,15,34,1000,1
42,好家伙,42,8,18,1000,1
43,好家伙,43,70,149,1000,1
44,好家伙,44,12,24,1000,1
45,好家伙,45,5,13.8,1000,1
46,好家伙,46,40,109,1000,1
47,好家伙,47,59,156,1000,1
48,好家伙,48,25,61,1000,1
49,好家伙,49,20,56,1000,1
50,好家伙,50,18,50,1000,1
51,好家伙,51,45,108,1000,1
52,好家伙,52,30,81,1000,1
53,好家伙,53,20,67.4,1000,1
54,好家伙,54,18,54.4,1000,1
55,好家伙,55,40,95.2,1000,1
56,好家伙,56,60,106.4,1000,1
57,好家伙,57,80,149,1000,1
58,好家伙,58,100,219,1000,1
59,好家伙,59,50,119,1000,1
60,好家伙,60,70,149,1000,1
61,好家伙,61,20,58,1000,1
62,好家伙,62,20,59,1000,1
63,好家伙,63,20,58,1000,1
64,好家伙,64,15,49,1000,1
65,好家伙,65,18,54,1000,1
66,好家伙,66,70,139,1000,1
67,好家伙,67,20,59,1000,1
68,好家伙,68,15,39,1000,1
69,好家伙,69,49,96,1000,1
70,好家伙,70,15,38,1000,1
71,好家伙,71,90,198,1000,1
72,好家伙,72,15,98,1000,1
73,好家伙,73,50,110,1000,1
74,好家伙,74,20,40.5,1000,1
75,好家伙,75,21,42,1000,1
76,好家伙,76,12,35,1000,1
77,好家伙,77,80,168,1000,1
78,好家伙,78,34,69,1000,1
79,好家伙,79,24,48,1000,1
80,好家伙,80,22,45,1000,1
81,好家伙,81,34,69,1000,1
82,好家伙,82,22,45,1000,1
83,好家伙,83,18,36,1000,1
84,好家伙,84,29,59,1000,1
85,好家伙,85,22,45,1000,1
86,好家伙,86,21,42,1000,1
87,好家伙,87,26,52,1000,1
88,好家伙,88,19,39,1000,1
89,好家伙,89,89,179,1000,1
90,好家伙,90,50,99,1000,1
91,好家伙,91,55,109,1000,1
92,好家伙,92,25,49,1000,1
93,好家伙,93,25,49,1000,1
94,好家伙,94,25,49,1000,1
95,好家伙,95,26,52,1000,1
96,好家伙,96,26,52,1000,1
97,好家伙,97,26,52,1000,1
98,好家伙,98,25,49,1000,1
99,好家伙,99,26,52,1000,1
100,好家伙,100,28,56,1000,1
